Milano_ID,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Tannerella,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella],k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus,k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;g__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Moryella,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Peptostreptococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megasphaera,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Parvimonas,k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium,k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Actinobacillus,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Aggregatibacter,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,k__Bacteria;p__TM7;c__TM7-3;o__;f__;g__,TNFalpha,IL6pgmL,IL_1B,IL10pgmL,NEUTROPHIL_ELASTASE_SPUTUMugml
17,0.0017313991576977088,0.006130088909686458,0.0006785212915301806,0.0,0.022461394478240547,0.00042115114646701027,0.0,0.0,0.0009592887225081874,0.0,0.0021759475900795505,0.02571361722040242,0.0004913430042115094,0.000584932147870845,0.0002807674309780068,0.0010060832943378552,0.011792232101076286,0.0,0.00046794571829667804,0.0007253158633598485,0.0,0.005404773046326644,0.0009358914365933561,0.0,0.0,0.3872250818905007,0.0,0.026977070659803475,0.0038371548900327547,0.0018404316843721414,0.0002439482960262558,0.3724907774274948,0.12540708233959277,1.77602525140454e-05
61,0.0010955084154964613,0.0016432626232446967,0.0034359127576934537,0.0,0.004382033661985855,0.0008963250672243809,0.0006473458818842758,0.0,0.0019420376456528222,0.0021412209939249073,0.003585300268897519,0.015635892839358605,0.0008465292301563609,0.0011951000896325064,0.0,0.0006971417189522958,0.0,0.0,0.005427746240414322,0.006075092122298576,0.0,0.019470172293596256,0.0014938751120406317,0.0,0.0,0.0044816253361218954,0.0,0.41778707300069706,0.0071208047007270125,0.0008805020855430496,0.00010178212829649651,0.48398448305451375,0.015008468223545249,2.476450810133735e-05
78,0.014362466088621748,0.04149156870046279,0.03292728336613648,0.0,0.023990637799882957,0.0,0.016277461567104638,0.0,0.024097026437576437,0.006995052928347245,0.011809138783977876,0.10548433427309978,0.006862067131230384,0.003324644927921697,0.004521517101973509,0.0031650619713814564,0.03944358742486304,0.006383318261609647,0.01907016330655885,0.013803925740730862,0.009787754667801456,0.0436725357731794,0.006968455768923861,0.0,0.01587850417575405,0.0263577849885632,0.0005851375073142199,0.014921006436512578,0.007819564870471855,0.00046566879666216975,0.0,0.4902158368338355,0.009312831418747764,5.6629507545446275e-06
82,0.0062706472531506,0.006362412822708899,0.0011011868346996227,0.00021411966230270666,0.013061299400464943,0.0021106080998409414,0.00012235409274440306,0.029793221583261975,0.0033953260736571665,0.0,0.0050471063257065945,0.03113911660345041,0.0010400097883274185,0.0018047228679799363,0.0011623638810718216,0.005414168603939814,0.018995472898568448,0.0,0.0027223785635629516,0.0012847179738162246,0.0,0.0009788327419552195,0.0009788327419552195,0.0,0.0,0.0062706472531506,0.0,0.35840572617154043,0.0023247277621436433,0.0010244545419889363,0.00014163271011411097,0.486207687558771,0.012578242144811637,4.798304431436003e-05
86,0.0011498850114988483,0.015748425157484248,0.01264873512648734,0.0113988601139886,0.05649435056494351,0.023447655234476568,0.008749125087491235,0.0,0.01674832516748327,0.01564843515648436,0.007549245075492437,0.07049295070492953,0.0,0.0017498250174982528,0.01819818018198184,0.0005499450054994501,0.0006999300069993012,0.012798720127987226,0.014198580141985792,0.006849315068493183,0.0,0.023397660233976627,0.0036496350364963502,0.0,0.0,0.019348065193480635,0.0,0.15793420657934196,0.0005499450054994501,0.0019570460698247753,0.00020505481786763923,0.4742258187842487,0.02357498634472097,3.7093983337852e-05
144,0.0005533013648100314,0.009467601131193906,0.0016599040944300992,0.0,0.001536948235583424,0.0,0.0004918234353866963,0.0,0.006824050165990412,0.0,0.0041804992007869165,0.033259559818025336,0.0012295585884667382,0.0,0.0,0.0,0.014877658920447578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007008483954260398,0.0,0.4182958317963852,0.0006147792942333716,0.0007247357430357085,0.00016499765353224097,0.4378445520977919,0.06121462606739453,5.1088438245686346e-05
148,0.0,0.011673151750972749,0.004863813229571984,0.0,0.0,0.0,0.0,0.0,0.0,0.011997405966277547,0.013942931258106347,0.06258106355382599,0.0,0.0,0.0,0.0,0.0,0.0,0.0389105058365759,0.0,0.0,0.029831387808041492,0.0,0.029831387808041492,0.0,0.0,0.0,0.2963683527885865,0.0,0.0009663710045766469,0.0002041264956191313,0.4665624104337856,0.03222932767052909,3.77643954894206e-05
156,0.0,0.0,0.0,0.0,0.022403982930298716,0.0,0.0,0.0,0.0,0.0,0.0,0.008534850640113808,0.0,0.0,0.0,0.0,0.0021337126600284493,0.0,0.07247510668563295,0.0,0.0,0.0019203413940256054,0.0,0.0,0.0,0.0,0.0,0.3925320056899003,0.0,0.000820808993418249,0.00026831201946174617,0.44781496741379795,0.05107205972976964,2.3851843552277972e-05
163,0.011061691312384483,0.0319720425138632,0.012765711645101678,0.00031769870609981403,0.057647874306839354,0.0009242144177449166,0.00031769870609981403,0.0,0.0011552680221811485,0.02197897412199629,0.013054528650646935,0.16245956561922353,0.005083179297597041,0.003927911275415898,0.0005198706099815148,0.00906885397412198,0.04491104436229201,0.0028304066543438063,0.016115988909427007,0.010975046210720865,0.0,0.039798983364140485,0.008289048059149724,0.0,0.0,0.016462569316081324,0.0,0.017848890942698703,0.010512939001848421,0.0029623004694655625,0.0005330913584356722,0.43582251202619593,0.060578546025918986,0.00010355011998390754
197,0.00733305596005823,0.02012689827335137,0.021947160391096336,0.000884127314333262,0.022675265238194305,0.0010401497815685466,0.002704389432078221,0.0005200748907842733,0.016330351570626164,0.0035365092573330583,0.01196172248803826,0.07353858955689632,0.0016122321614312448,0.0055648013313917164,0.0029124193883919305,0.002444351986686082,0.030996463490742678,0.0031724568337840645,0.009725400457665902,0.006864988558352387,0.0,0.02673184938631163,0.0023403370085292273,0.0,0.0,0.010973580195548168,0.0,0.21156646557104214,0.0024963594757645116,0.0021797595510309343,0.00028551780034630545,0.4291696101769079,0.06828755245803841,7.756001367641575e-05
