Milano_ID,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Tannerella,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella],k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus,k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;g__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Moryella,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Peptostreptococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megasphaera,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Parvimonas,k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium,k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Actinobacillus,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Aggregatibacter,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,k__Bacteria;p__TM7;c__TM7-3;o__;f__;g__,TNFalpha,IL6pgmL,IL_1B,IL10pgmL,NEUTROPHIL_ELASTASE_SPUTUMugml
11,0.018888506143070388,0.01498449879435066,0.0013491790102193159,0.0014065908829946048,0.02107015730853145,0.001464002755769894,0.007951544379377638,0.007233895969686512,0.008181191870478804,0.005454127913652536,0.007520955333562983,0.07084625100470772,0.006803306923871857,0.006171776323343662,0.001291767137444027,0.009243311516821708,0.04865656217705828,0.0004592949822023228,0.01966356642553682,0.019376507061660348,0.0035021242392926882,0.03740383511310143,0.008554369043518207,0.0,0.004880009185899646,0.0281892295326674,0.12441152830405315,0.011970375473647975,0.0030715351934780125,0.001434130276044088,0.00015033471703285506,0.4735223492596939,0.024862133899398033,3.105184783117207e-05
43,0.0030493739051450125,0.012067735028871769,0.021410497631869235,0.005255303964186061,0.04087458638811398,0.0012327256212288343,0.008856160384091358,0.0,0.010510607928372174,0.007947836242133275,0.0042496593784467716,0.0291961331343671,0.004152338934665545,0.004119898786738474,0.004930902484915337,0.0017842081359891028,0.027411924998378027,0.014014143904496195,0.1892233828586258,0.013203140206319335,0.0,0.003925257899176026,0.018328683578797134,0.0,0.0,0.003081814053072088,0.0,0.06338804904950354,0.007785635502497921,0.0014761938810369348,0.00011646844785534397,0.46908739900374197,0.029300235955859573,1.970271150622463e-05
52,0.0,0.0008156606851549756,0.0,0.00027188689505165854,0.0,0.0,0.0014047489577668998,0.0,0.0009516041326808023,0.0,0.0,0.0030360703280768514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018125793003443901,0.0,0.0,0.0,0.0,0.0,0.49170744970092445,0.0,0.003928140184721245,0.0003337135954594572,0.4664477727801794,0.029181528616693465,0.00010884482294652664
157,0.0006551303483486188,0.010436904170243502,0.012086025391948686,0.0,0.005828401030135996,0.0016717119233723393,0.007296796638503581,0.0,0.004224461211765235,0.0018298468350426928,0.005828401030135996,0.034654136357475225,0.0008584466633533618,0.0,0.0,0.0,0.006957936113495684,0.0,0.004969954366782628,0.0015813491167035651,0.0,0.008810373650205566,0.0004969954366782653,0.003411195951746258,0.0,0.007025708218497284,0.37624813626711245,0.005128089278453003,0.0,0.003309450722729655,0.0006545115178313396,0.4455047424756796,0.05041412542435644,0.00011716985940300078
158,0.010321021746634467,0.02764929237141869,0.0055229547808077085,0.0,0.08702105626510172,0.00138073869520193,0.005108733172247149,0.0,0.008560579910251978,0.0074905074214704605,0.008871246116672402,0.1013807386952019,0.006351397997928873,0.00700724887814981,0.0040386606834656525,0.014428719364860199,0.06389368312046961,0.0004142216085605823,0.016223679668622724,0.015740421125302016,0.0,0.011460131170176054,0.008180876769071432,0.0,0.0,0.012357611322057288,0.0,0.07059026579219889,0.006006213324128416,0.0017556101017902255,0.000626981957105159,0.4491095855947827,0.048428862327068466,7.896001925351411e-05
166,0.0026412879423109194,0.005282575884621839,0.0019285594499413067,0.0,0.018195539158141892,0.0018866342445077965,0.0,0.0,0.0035217172564145573,0.0,0.004108670132483649,0.03701995639778634,0.0,0.002305886298842863,0.0,0.0036894180781485825,0.017902062720107303,0.0,0.006833808485661583,0.0025155123260103985,0.0,0.013374140533288626,0.003773268489015598,0.0037313432835820877,0.0007546536978031175,0.0,0.0,0.36617474425624685,0.00436022136508469,0.000825164038510662,7.892873411841115e-05,0.48561474276681366,0.013455401575048518,2.576288550878009e-05
173,0.0011651265568501385,0.043149859381277626,0.0,0.0,0.007312173563680183,0.0,0.0,0.0,0.026717557251908393,0.0,0.0109682603455203,0.0558858979509842,0.0,0.0,0.0,0.0,0.012896745680996384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015106468461229402,0.0,0.3267979108075533,0.0,0.0015602467375476427,0.00026968361306248245,0.4656099823955681,0.03253544533458064,2.464191924123705e-05
193,0.0007334515005195277,0.009504309027565536,0.008984780881364231,0.0,0.004736874274188621,0.0,0.00033616527107144934,0.0,0.0,0.007212273088442049,0.008404131776786285,0.026557056414644613,0.0,0.0,0.0,0.0007334515005195277,0.011124014424546195,0.0,0.0,0.0016197053969806278,0.0,0.0,0.0025365197726300377,0.0,0.0,0.00030560479188313487,0.0,0.4172116618788582,0.0,0.00401745009595139,0.0021461511368785794,0.4228685789648661,0.07070942583873804,0.0002583939635659026
222,0.0009414507307450932,0.0,0.00883170447413253,0.0,0.00878687348695416,0.0,0.024119071101945656,0.0,0.0,0.0,0.0017035775127768285,0.018425535730296788,0.000717295794853401,0.002465704294808574,0.00017932394871335275,0.0,0.011700887653546124,0.004841746615260469,0.018066887832870082,0.0,0.0,0.002779521205056935,0.012104366538151147,0.0,0.0,0.004617591679368777,0.0,0.3797184614005201,0.0,0.0032672702199675113,0.0002452676594530259,0.48317728912246105,0.013166752235003819,0.00014342076311464876
245,0.008957897879964179,0.027022991937891934,0.015676321289937314,0.005747984472976983,0.02463421916990149,0.00209017617199164,0.002538071065989849,0.0,0.0,0.0,0.0017169304269931307,0.15683786204837277,0.0,0.002687369363989248,0.0005225440429979086,0.0011943863839952219,0.06016721409375924,0.0,0.03336816960286652,0.005598686174977585,0.0,0.0,0.010898775753956425,0.0,0.0,0.0,0.0,0.1368318901164526,0.0035085100029859663,0.002604640539048671,0.00026800159887317514,0.47424881512077205,0.022823343548356398,5.519919294973067e-05
