Milano_ID,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Tannerella,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella],k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus,k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;g__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Moryella,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Peptostreptococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megasphaera,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Parvimonas,k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium,k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Actinobacillus,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Aggregatibacter,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,k__Bacteria;p__TM7;c__TM7-3;o__;f__;g__
17,0.0034627983153954177,0.012260177819372916,0.0013570425830603612,0.0,0.044922788956481094,0.0008423022929340205,0.0,0.0,0.0019185774450163747,0.0,0.004351895180159101,0.05142723444080484,0.0009826860084230188,0.00116986429574169,0.0005615348619560137,0.0020121665886757103,0.023584464202152572,0.0,0.0009358914365933561,0.001450631726719697,0.0,0.010809546092653288,0.0018717828731867122,0.0,0.0,0.7744501637810014,0.0,0.05395414131960695,0.007674309780065509
40,0.006773101112723759,0.027672955974842754,0.06115142718916301,0.0018384131591678721,0.011417513304305777,0.006192549588776007,0.0009675858732462512,0.0,0.02089985486211905,0.020319303338171224,0.03734881470730527,0.1283018867924527,0.0,0.0,0.005224963715529757,0.0030962747943880037,0.04789550072568947,0.003773584905660375,0.02060957910014519,0.0,0.0,0.06666666666666667,0.004547653604257376,0.0,0.0,0.042767295597484295,0.0,0.4766328011611031,0.005902273826802127
61,0.002191016830992923,0.003286525246489394,0.006871825515386909,0.0,0.008764067323971711,0.0017926501344487623,0.0012946917637685518,0.0,0.0038840752913056453,0.0042824419878498155,0.0071706005377950395,0.03127178567871722,0.0016930584603127223,0.0023902001792650133,0.0,0.0013942834379045918,0.0,0.0,0.010855492480828646,0.012150184244597155,0.0,0.03894034458719252,0.0029877502240812643,0.0,0.0,0.008963250672243793,0.0,0.8355741460013943,0.014241609401454029
78,0.028724932177243496,0.08298313740092558,0.06585456673227295,0.0,0.047981275599765914,0.0,0.032554923134209275,0.0,0.048194052875152875,0.01399010585669449,0.023618277567955752,0.21096866854619956,0.013724134262460767,0.006649289855843394,0.009043034203947017,0.006330123942762913,0.07888717484972609,0.012766636523219294,0.0381403266131177,0.027607851481461724,0.01957550933560291,0.0873450715463588,0.013936911537847723,0.0,0.0317570083515081,0.0527155699771264,0.0011702750146284399,0.029842012873025157,0.01563912974094371
82,0.0125412945063012,0.012724825645417798,0.0022023736693992453,0.0004282393246054133,0.026122598800929885,0.004221216199681883,0.0002447081854888061,0.05958644316652395,0.006790652147314333,0.0,0.010094212651413189,0.06227823320690082,0.002080019576654837,0.0036094457359598727,0.0023247277621436433,0.010828337207879629,0.037990945797136896,0.0,0.005444757127125903,0.002569435947632449,0.0,0.001957665483910439,0.001957665483910439,0.0,0.0,0.0125412945063012,0.0,0.7168114523430809,0.004649455524287287
86,0.002299770022997697,0.0314968503149685,0.025297470252974685,0.022797720227977204,0.11298870112988704,0.04689531046895315,0.017498250174982473,0.0,0.03349665033496655,0.031296870312968725,0.015098490150984878,0.1409859014098591,0.0,0.0034996500349965065,0.03639636036396369,0.0010998900109989004,0.0013998600139986026,0.02559744025597446,0.02839716028397159,0.01369863013698637,0.0,0.04679532046795326,0.007299270072992702,0.0,0.0,0.03869613038696128,0.0,0.31586841315868397,0.0010998900109989004
144,0.0011066027296200627,0.018935202262387808,0.003319808188860198,0.0,0.0030738964711668477,0.0,0.0009836468707733923,0.0,0.013648100331980823,0.0,0.008360998401573831,0.06651911963605066,0.002459117176933476,0.0,0.0,0.0,0.029755317840895152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014016967908520795,0.0,0.8365916635927703,0.001229558588466743
148,0.0,0.0233463035019455,0.009727626459143969,0.0,0.0,0.0,0.0,0.0,0.0,0.0239948119325551,0.027885862516212702,0.125162127107652,0.0,0.0,0.0,0.0,0.0,0.0,0.07782101167315181,0.0,0.0,0.059662775616083,0.0,0.059662775616083,0.0,0.0,0.0,0.5927367055771731,0.0
156,0.0,0.0,0.0,0.0,0.04480796586059744,0.0,0.0,0.0,0.0,0.0,0.0,0.01706970128022762,0.0,0.0,0.0,0.0,0.004267425320056899,0.0,0.14495021337126593,0.0,0.0,0.0038406827880512117,0.0,0.0,0.0,0.0,0.0,0.7850640113798009,0.0
163,0.022123382624768966,0.0639440850277264,0.025531423290203355,0.0006353974121996281,0.11529574861367871,0.0018484288354898332,0.0006353974121996281,0.0,0.002310536044362297,0.04395794824399258,0.02610905730129387,0.32491913123844707,0.010166358595194082,0.007855822550831795,0.0010397412199630296,0.01813770794824396,0.08982208872458403,0.005660813308687613,0.032231977818854014,0.02195009242144173,0.0,0.07959796672828097,0.016578096118299447,0.0,0.0,0.03292513863216265,0.0,0.035697781885397406,0.021025878003696843
