"","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Porphyromonas","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Tannerella","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Paraprevotellaceae..g__.Prevotella.","k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Capnocytophaga","k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus","k__Bacteria.p__Firmicutes.c__Bacilli.o__Gemellales.f__Gemellaceae.__","k__Bacteria.p__Firmicutes.c__Bacilli.o__Gemellales.f__Gemellaceae.g__","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Carnobacteriaceae.g__Granulicatella","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Moryella","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Oribacterium","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Peptostreptococcus","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Megasphaera","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..g__Parvimonas","k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Fusobacteriaceae.g__Fusobacterium","k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Leptotrichiaceae.g__Leptotrichia","k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Neisseriaceae.g__","k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Neisseriaceae.g__Neisseria","k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Actinobacillus","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Aggregatibacter","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Haemophilus","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Moraxella","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas","k__Bacteria.p__TM7.c__TM7.3.o__.f__.g__"
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces",0,0,0,0,0,0,0,0.130985482440372,0,0,0,0,0,0.554473583630833,0,0,0,0,0,0.275851323705192,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia",0,0,0,0,0,0,0,0,0.114340877380072,0,0.571919567111287,0.120296491765854,0,0,0,0,0.20690932962612,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Porphyromonas",0,0,0,0,0,0,0,0,0.324912563894798,0,0,0,1.19119271100432,0,0,0,0,0,0,0.312807077144013,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Tannerella",0,0,0,0,0,0.135759938847624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella",0,0,0,1.98588036203148,0,0,0,0,0,0,0,0,0.668466329629022,0.926274001549789,0.0971424741396,0.494452425021277,0,0,0.00892676574724839,0,0,0,1.24806254644097,0,0,0,0,-0.0097937183302119,0
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Paraprevotellaceae..g__.Prevotella.",0,0,0,0.946504459317922,0,0,0.226673147679015,0,0,0,0,0,0,0,0.444052366091709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Capnocytophaga",0,0,0,0,0,0.367214152935657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543165618539264,0,0,0,0,0,0,0,0
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Gemellales.f__Gemellaceae.__",0,0.0914682133197187,0.238018099923422,0.113432963757915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Gemellales.f__Gemellaceae.g__",0,0,0.0116379248876632,0.383242521215079,0.10575976620867,0,0,0,0,0,0,0.028491756181926,0,0,0,0,0,0,0,0,0,0,0,0.238776975251121,0,-0.00157940286475576,-0.0180519823277777,0,0
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Carnobacteriaceae.g__Granulicatella",0,0.12970709503484,0.170232744719572,0,-0.0511758418953513,0,0,0,0,0.17512832412782,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625103127796921,0,0,0,0,0
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus",0,1.23295915985169,0,0,0,0,0,0,0,2.370326028775,0,0,0,0,0,0,0,0,0,0,2.51108420640908,0,0,0,0,0,0,-0.025128660730765,0
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Moryella",0,0,0,0,0,0,0,0,0,0,0,0,0,0.150470854836768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122349669461003
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Oribacterium",0,0,0,0,0,0,0,0,0,0,0,0,0.0458697750139423,0,0,0,0,0,0,0.187611339836555,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Peptostreptococcus",0,0,0,0.55981772278971,0,0.41876053419414,0,0,0,0,0,0,0,0,0,0,0,0.0629528912979434,0,0,0,0,0.0203067922282986,0,0,0,0,0,0
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Megasphaera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065808917861298,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella",0.778065808783364,0.279902716640829,0,0,0,0,0,0,0,0,0,0,0.129880485488309,0.765179066135627,0,0.444502870316785,0,0,0,0,-0.215615367573637,0,0.326669308004462,-0.417316344065865,0,0,0,-0.0041666681975893,0
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..g__Parvimonas",-0.279346858269883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5967987142169,0,0,0,0,0,0,2.58161294183178,0,0,0,0,0,-0.436642326156364
"k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Fusobacteriaceae.g__Fusobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Leptotrichiaceae.g__Leptotrichia",0.210415991226621,0,0,0,0,0.0587029781497252,0.0432418509527564,-0.0777359241682411,0,0,0,0,0.325003103179435,1.88026651544367,0,0,0,0,0,0,0,0,0,0,0,0,0.0839896280242616,-0.00105869889771625,0
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Neisseriaceae.g__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482572640481315,0,0,0,0
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Neisseriaceae.g__Neisseria",0,0.0357183026228105,0,0,0,0,0.553491946414624,-0.177299657395874,0,0,0.848460960311703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0896164326900393,-0.0200232209935938,0.537414216943446
"k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter",0,0,0,0,0.0143274992448996,0,0,0,0,0.0268937136710772,0,0,0,0,0.00658120145101364,0.237096133931512,0,0.0797880052980851,0,0,0,0,0,-0.00428800583662982,0.0309687868423735,-0.001716551571078,0,-0.00184323538636928,0.232557880012259
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Actinobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Aggregatibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.645083350870304,0,0,0,0,0,0,0,0
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Haemophilus",0,0,0,0,0,0,0,0,0,0,-0.80857481033792,-0.211714052715548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.376452176524135,0
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Moraxella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas",0,-0.52327344070411,0,0,-2.17000264420825,0,-2.38138449303555,0,0,0,0,0,0,0,0,0,0,0,0,-0.0812648713431598,0,-1.3750148426516,-3.30721288349742,0,-1.04172372878558,-0.826831778172138,0,0,0
"k__Bacteria.p__TM7.c__TM7.3.o__.f__.g__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
