Milano_ID,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Tannerella,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella],k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus,k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;g__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Moryella,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Peptostreptococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megasphaera,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Parvimonas,k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium,k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Actinobacillus,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Aggregatibacter,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,k__Bacteria;p__TM7;c__TM7-3;o__;f__;g__
11,0.037777012286140776,0.02996899758870132,0.0026983580204386318,0.0028131817659892097,0.0421403146170629,0.002928005511539788,0.015903088758755277,0.014467791939373024,0.01636238374095761,0.010908255827305072,0.015041910667125966,0.14169250200941544,0.013606613847743714,0.012343552646687324,0.002583534274888054,0.018486623033643415,0.09731312435411656,0.0009185899644046456,0.03932713285107364,0.038753014123320696,0.0070042484785853764,0.07480767022620285,0.017108738087036415,0.0,0.009760018371799292,0.0563784590653348,0.2488230566081063,0.02394075094729595,0.006143070386956025
30,0.006179775280898875,0.050702247191011296,0.005898876404494388,0.0,0.0,0.0,0.0004915730337078614,0.0006320224719101104,0.009691011235955059,0.0,0.013974719101123613,0.06446629213483146,0.0,0.0,0.0,0.0004915730337078614,0.0,0.0006320224719101104,0.027036516853932626,0.0023876404494382023,0.0,0.011867977528089877,0.0,0.0,0.0033707865168539353,0.007233146067415732,0.7794943820224718,0.015449438202247187,0.0
43,0.006098747810290024,0.024135470057743535,0.04282099526373846,0.01051060792837212,0.08174917277622795,0.002465451242457668,0.017712320768182712,0.0,0.021021215856744345,0.015895672484266547,0.008499318756893541,0.05839226626873419,0.008304677869331088,0.008239797573476947,0.009861804969830672,0.003568416271978205,0.05482384999675605,0.028028287808992386,0.37844676571725155,0.026406280412638667,0.0,0.00785051579835205,0.03665736715759426,0.0,0.0,0.006163628106144175,0.0,0.12677609809900706,0.01557127100499584
52,0.0,0.001631321370309951,0.0,0.000543773790103317,0.0,0.0,0.002809497915533799,0.0,0.0019032082653616044,0.0,0.0,0.006072140656153702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00362515860068878,0.0,0.0,0.0,0.0,0.0,0.9834148994018488,0.0
105,0.0036525232848359404,0.014914470079746745,0.017471236379131866,0.001095756985450778,0.008705180495525653,0.0,0.025202410665367974,0.0,0.017288610214890147,0.008948682047848048,0.015340597796310933,0.029585438607171128,0.00060875388080599,0.000974006209289586,0.0037133986729165416,0.0,0.013149083825409356,0.0028611432397881473,0.012540329944603346,0.011140196018749602,0.0,0.0,0.002617641687465753,0.0,0.0,0.0036525232848359404,0.0,0.8033724964996654,0.003165520180191142
157,0.0013102606966972376,0.020873808340487004,0.02417205078389737,0.0,0.011656802060271991,0.0033434238467446786,0.014593593277007162,0.0,0.00844892242353047,0.0036596936700853855,0.011656802060271991,0.06930827271495045,0.0017168933267067237,0.0,0.0,0.0,0.013915872226991368,0.0,0.009939908733565256,0.0031626982334071302,0.0,0.017620747300411133,0.0009939908733565307,0.006822391903492516,0.0,0.014051416436994568,0.7524962725342249,0.010256178556906005,0.0
158,0.020642043493268935,0.05529858474283738,0.011045909561615417,0.0,0.17404211253020344,0.00276147739040386,0.010217466344494297,0.0,0.017121159820503957,0.014981014842940921,0.017742492233344804,0.2027614773904038,0.012702795995857746,0.01401449775629962,0.008077321366931305,0.028857438729720398,0.12778736624093923,0.0008284432171211646,0.03244735933724545,0.03148084225060403,0.0,0.022920262340352108,0.016361753538142863,0.0,0.0,0.024715222644114576,0.0,0.14118053158439778,0.012012426648256832
166,0.005282575884621839,0.010565151769243677,0.0038571188998826134,0.0,0.036391078316283784,0.003773268489015593,0.0,0.0,0.007043434512829115,0.0,0.008217340264967298,0.07403991279557268,0.0,0.004611772597685726,0.0,0.007378836156297165,0.03580412544021461,0.0,0.013667616971323166,0.005031024652020797,0.0,0.026748281066577253,0.007546536978031196,0.0074626865671641755,0.001509307395606235,0.0,0.0,0.7323494885124937,0.00872044273016938
173,0.002330253113700277,0.08629971876255525,0.0,0.0,0.014624347127360366,0.0,0.0,0.0,0.053435114503816786,0.0,0.0219365206910406,0.1117717959019684,0.0,0.0,0.0,0.0,0.025793491361992767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030212936922458803,0.0,0.6535958216151067,0.0
193,0.0014669030010390552,0.019008618055131068,0.01796956176272846,0.0,0.00947374854837724,0.0,0.0006723305421428986,0.0,0.0,0.014424546176884096,0.016808263553572567,0.05311411282928922,0.0,0.0,0.0,0.0014669030010390552,0.022248028849092386,0.0,0.0,0.003239410793961255,0.0,0.0,0.005073039545260075,0.0,0.0,0.0006112095837662696,0.0,0.8344233237577163,0.0
205,0.005425287356321836,0.012873563218390793,0.0038620689655172375,0.0,0.06593103448275865,0.0007356321839080512,0.0013793103448275857,0.0,0.006620689655172408,0.0,0.004873563218390808,0.05600000000000004,0.011862068965517282,0.006528735632183913,0.0,0.02059770114942529,0.06721839080459771,0.0,0.00993103448275862,0.03880459770114937,0.0,0.016367816091954056,0.006252873563218395,0.0,0.0,0.011770114942528737,0.2337471264367819,0.41921839080459744,0.0
222,0.0018829014614901863,0.0,0.01766340894826506,0.0,0.01757374697390832,0.0,0.04823814220389131,0.0,0.0,0.0,0.003407155025553657,0.036851071460593576,0.001434591589706802,0.004931408589617148,0.0003586478974267055,0.0,0.023401775307092247,0.009683493230520939,0.036133775665740164,0.0,0.0,0.00555904241011387,0.024208733076302294,0.0,0.0,0.009235183358737555,0.0,0.7594369228010402,0.0
245,0.017915795759928358,0.05404598387578387,0.03135264257987463,0.011495968945953967,0.04926843833980298,0.00418035234398328,0.005076142131979698,0.0,0.0,0.0,0.0034338608539862614,0.31367572409674555,0.0,0.005374738727978496,0.0010450880859958172,0.0023887727679904438,0.12033442818751848,0.0,0.06673633920573303,0.01119737234995517,0.0,0.0,0.02179755150791285,0.0,0.0,0.0,0.0,0.2736637802329052,0.007017020005971933
248,0.024352706862212522,0.06563461886655808,0.03784175267065,0.0009958355965960528,0.02254209668658335,0.0028064457722252406,0.0009958355965960528,0.0,0.03440159333695458,0.0,0.039018649284808984,0.04580843744341843,0.0,0.00117689661415897,0.034673184863298914,0.005341300018106098,0.02761180517834515,0.02380952380952387,0.047890639145392065,0.01620496107188117,0.0,0.11017562918703612,0.0,0.0,0.01131631359768243,0.02761180517834515,0.0,0.40992214376244784,0.009867825457179074
257,0.005129561078794287,0.013643574828133267,0.01745108408249604,0.0004230565838180892,0.012533051295610793,0.0008989952406134357,0.005129561078794287,0.0,0.009042834479111585,0.011422527763088317,0.00507667900581703,0.0498149127445796,0.0016393442622950791,0.0010047593865679504,0.0,0.002273929138022208,0.02659968270756218,0.0007403490216816536,0.013855103120042275,0.01057641459545218,0.001745108408249604,0.037440507667900594,0.001745108408249604,0.0,0.0024854574299312576,0.025912215758857722,0.000264410364886307,0.7366472765732416,0.006504494976203069
271,0.004104988182609774,0.03545217066799353,0.020524940913048923,0.0,0.5389973877347926,0.0027366587884065196,0.00485134967035701,0.01903221793755445,0.01903221793755445,0.023634780445329018,0.022515238213708214,0.1291205373802714,0.0,0.0007463614877472355,0.0,0.0,0.039432765269312116,0.0023634780445329017,0.0,0.00783679562134594,0.003607413857444961,0.05535514367458637,0.0023634780445329017,0.0,0.024878716258241076,0.027366587884065197,0.0,0.014056474685906217,0.001990297300659284
304,0.014571948998178525,0.09503444998812068,0.04331987011958504,0.0,0.04403262849449595,0.0033262057495842233,0.009265858873841766,0.0,0.06280193236714972,0.026292864496713444,0.040152055119980955,0.2412291122198462,0.004672527124415932,0.00815712362398036,0.0015839074998020095,0.007840342124019961,0.10572582561178423,0.002771838124653525,0.031361368496079824,0.02534251999683224,0.0055436762493070385,0.03349964362081253,0.0052268947493466405,0.03183654074602043,0.006731606874158553,0.10303318286212085,0.0,0.04577492674427812,0.0008711491248911068
382,0.00902278635877046,0.03073864505276035,0.013457715246979694,0.0,0.004740786052913296,0.0010705000764642883,0.006575929041137788,0.0,0.01177550084110726,0.0,0.027068359076311343,0.3135035938216852,0.0,0.002752714482336744,0.002293928735280624,0.0,0.015445786817556154,0.0012234286588163358,0.01452821532344396,0.008105214864658207,0.007799357699954125,0.11408472243462314,0.004587857470561248,0.04985471784676563,0.009787429270530664,0.0790640770760055,0.0,0.2645664474690318,0.007952286282306171
477,0.0,0.0019697964543663802,0.00339242722696433,0.0,0.0,0.0,0.0,0.0,0.0021886627270737598,0.0,0.0009848982271831901,0.011928211862552001,0.0,0.0,0.0,0.0,0.0,0.0,0.00120376449989057,0.00076603195447582,0.0,0.0031735609542569497,0.0,0.0,0.648938498577369,0.0,0.0,0.325454147515868,0.0
